ID,Average Rating,Latitude,Longitude,Person Capacity,Price
10638,4.84,42.38101,-71.09627,2,$65
22107205,4.91,42.38516,-71.0914,6,$206
50212002,4.92,42.37804,-71.09543,1,$80
46361507,4.9,42.3809,-71.09754,4,$234
1445064,4.7,42.38017,-71.06236,1,$50
53829599,,42.37782,-71.09698,4,$155
1574583,4.41,42.38252,-71.09965,2,$133
50455894,4.65,42.3832,-71.09235,8,$270
51945202,5.0,42.38481,-71.09715,4,$175
4525875,4.89,42.37866,-71.06452,6,$374
10906,4.88,42.38267,-71.09335,1,$40
21607175,4.71,42.37633,-71.09746,2,$59
24484501,4.9,42.38113,-71.08021,16,$800
23872975,4.98,42.37648,-71.06444,4,$242
34783918,4.8,42.38507,-71.08961,7,$183
51925642,4.84,42.38433,-71.08982,6,$318
33250781,4.7,42.38506,-71.08065,2,$109
53759137,,42.385582,-71.089035,5,$193
24348595,5.0,42.38064,-71.09593,2,$130
45722399,4.67,42.38505,-71.10001,4,$84
151158,4.85,42.38226,-71.0995,3,$230
18601269,,42.38126,-71.09722,1,$20
45518018,4.94,42.38564,-71.09122,6,$263
48208129,,42.38027,-71.09149,2,$120
34979317,,42.38096,-71.09616,1,$52
1543112,4.51,42.38244,-71.10072,5,$168
7005588,4.8,42.38201,-71.09972,6,$217
154505,4.57,42.38487,-71.08643,1,$22
2975163,4.65,42.38406,-71.09656,6,$300
5735835,4.71,42.38164,-71.09216,2,$40
2913427,4.7,42.38122,-71.09118,2,$40
2875534,4.56,42.38136,-71.09163,2,$50
15333938,4.8,42.38101,-71.09136,2,$40
16364879,4.72,42.38379,-71.0783,4,$139
17676984,4.4,42.38376,-71.07707,1,$54
13091712,4.97,42.38061,-71.06905,6,$400
43994299,,42.38318,-71.07211,3,$199
7333304,,42.38071,-71.07037,2,$150
7053454,4.75,42.38239,-71.06393,2,$200
2864688,,42.38148,-71.06967,5,$595
13830152,4.88,42.38199,-71.07675,2,$59
16233671,4.83,42.38185,-71.07693,2,$65
21925988,4.92,42.38356,-71.07874,2,$50
16692369,4.83,42.38366,-71.0786,2,$59
35042429,4.68,42.38424,-71.08121,6,$169
16479752,5.0,42.38191,-71.07865,2,$65
7031423,4.87,42.37498,-71.09765,2,$70
46917242,4.67,42.37878,-71.09264,1,$90
29151496,4.78,42.37441,-71.08883,5,$229
22248444,4.81,42.37688,-71.09787,2,$75
44540503,4.7,42.37816,-71.09847,6,$152
41789037,4.35,42.37935,-71.0938,6,$204
25260615,4.5,42.37725,-71.09666,6,$178
13575646,4.89,42.37521,-71.10007,8,$307
39030733,,42.37873,-71.09175,2,$80
21229815,4.78,42.37712,-71.09738,1,$50
1209487,4.87,42.37724,-71.09783,2,$120
24886707,4.4,42.37346,-71.09048,2,$53
4813475,4.72,42.37395,-71.08938,5,$106
26502701,4.35,42.37364,-71.09036,2,$54
48108594,4.75,42.37226,-71.09974,4,$60
29765,4.96,42.37754,-71.06642,2,$226
619142,4.78,42.377338,-71.063095,2,$175
708802,4.9,42.37926,-71.06364,4,$200
77681,4.29,42.37865,-71.06373,2,$140
37912471,,42.37845,-71.0635,8,$900
184893,,42.37823,-71.06778,2,$245
30697014,4.53,42.37015,-71.08251,2,$49
33325791,4.81,42.37048,-71.07871,8,$110
33340302,4.61,42.37051,-71.07894,7,$110
27017697,3.95,42.3716,-71.08976,3,$74
13294153,4.71,42.37024,-71.08245,1,$79
32055447,4.96,42.37066,-71.08191,3,$140
33388620,4.51,42.37378,-71.0881,5,$110
29816287,4.54,42.37239,-71.0961,2,$49
24992422,4.93,42.37708,-71.0604,4,$232
21682941,5.0,42.37147,-71.08872,2,$150
14759578,4.81,42.37128,-71.08607,3,$158
1406416,4.83,42.37121,-71.08116,2,$140
12810652,4.55,42.37074,-71.08328,1,$81
30080995,4.57,42.37029,-71.09552,2,$39
